ID,Subpopulation
C001,IndI
C002,VI
C003,Jap
C004,TeJ
C005,TrJ
C006,Ind
C007,Ind
C008,IndII
C009,Ind
C010,TrJ
C011,IndII
C012,TeJ
C013,Aus
C014,Jap
C015,Aus
C016,TeJ
C017,TeJ
C018,TeJ
C019,IndI
C020,IndI
C021,IndI
C022,IndI
C023,TeJ
C024,IndI
C025,IndII
C026,TeJ
C027,Ind
C028,TeJ
C029,Jap
C030,Ind
C031,Ind
C032,TeJ
C033,IndI
C034,TeJ
C035,TeJ
C036,IndI
C037,IndI
C038,Ind
C039,IndI
C040,IndI
C041,IndI
C042,Ind
C043,Ind
C044,IndII
C045,IndII
C046,Ind
C047,IndI
C048,TeJ
C049,IndII
C050,IndII
C051,Admix
C052,TeJ
C053,Ind
C054,TeJ
C055,IndI
C056,TeJ
C057,Jap
C058,IndI
C059,IndI
C060,IndI
C061,IndII
C062,IndI
C063,TeJ
C064,TeJ
C065,Ind
C066,IndI
C067,TeJ
C068,IndII
C069,IndII
C070,TeJ
C071,TeJ
C072,IndI
C073,IndI
C074,TeJ
C075,TeJ
C076,IndI
C077,IndI
C078,IndI
C079,TeJ
C080,IndI
C081,IndI
C082,TeJ
C083,TeJ
C084,Jap
C085,Jap
C086,Aus
C087,TeJ
C088,IndI
C089,TeJ
C090,IndII
C091,IndI
C092,IndI
C093,TeJ
C094,Ind
C095,IndI
C096,Ind
C097,Ind
C098,Ind
C099,Ind
C100,Ind
C101,TeJ
C102,Ind
C103,TeJ
C104,IndI
C105,Ind
C106,TeJ
C107,Ind
C108,IndI
C109,IndI
C110,IndI
C111,TeJ
C112,IndI
C113,Ind
C114,Ind
C115,IndII
C116,TeJ
C117,Ind
C118,IndII
C119,TeJ
C120,TeJ
C121,Ind
C122,IndI
C123,TrJ
C124,Ind
C125,IndI
C127,IndI
C128,IndI
C129,Ind
C130,TeJ
C131,IndI
C132,Ind
C133,TeJ
C134,TeJ
C135,IndI
C136,IndI
C137,TeJ
C138,TeJ
C139,IndI
C140,IndI
C141,IndI
C142,Ind
C143,IndI
C144,TeJ
C145,IndI
C146,TeJ
C147,IndII
C148,IndII
C149,TeJ
C150,TeJ
C151,IndI
C152,TeJ
C153,TrJ
C154,TeJ
C155,IndI
C156,IndI
C157,IndI
C158,IndI
C159,IndI
C160,Ind
C161,IndI
C162,Ind
C163,IndII
C164,IndII
C165,IndI
C166,Ind
C167,Ind
C168,Ind
C169,Ind
C170,IndI
C171,TeJ
C172,TeJ
C173,IndI
C174,IndII
C175,Ind
C176,Ind
C177,TeJ
C178,IndI
C179,Jap
C180,IndI
C181,TeJ
C182,IndI
C183,IndI
C184,IndI
C185,Jap
C186,TrJ
C187,TeJ
C188,TeJ
C189,TeJ
C190,IndI
C191,IndI
C192,Ind
C193,IndI
C194,Ind
C195,TeJ
C196,TeJ
C197,IndI
C198,IndI
C199,IndI
C200,IndI
C201,Ind
C202,IndI
C203,IndI
W001,IndI
W002,TrJ
W003,TrJ
W004,TrJ
W005,TrJ
W006,TrJ
W007,TrJ
W008,TrJ
W009,Ind
W010,Jap
W011,TeJ
W012,TeJ
W013,TeJ
W014,VI
W015,Aus
W016,TeJ
W017,TrJ
W018,TeJ
W019,Jap
W020,Aus
W021,Jap
W022,TrJ
W023,Ind
W024,TrJ
W025,Aus
W026,IndI
W027,TeJ
W028,Aus
W029,IndI
W030,Ind
W031,IndI
W032,IndI
W033,IndI
W034,Aus
W035,Ind
W036,IndI
W037,Admix
W038,TeJ
W039,IndI
W040,IndII
W041,TrJ
W042,Admix
W043,IndII
W044,IndII
W045,TeJ
W046,IndII
W047,Jap
W048,Aus
W049,Aus
W050,VI
W051,IndII
W052,TeJ
W053,TrJ
W054,Ind
W055,Admix
W056,TeJ
W057,TrJ
W058,IndI
W059,TeJ
W060,TeJ
W061,Jap
W062,TrJ
W063,Jap
W064,TeJ
W065,TrJ
W066,IndII
W067,TrJ
W068,TeJ
W069,Aus
W070,Ind
W071,Ind
W072,Aus
W073,IndII
W074,Ind
W075,Ind
W076,Aus
W077,VI
W078,IndII
W079,Admix
W080,IndI
W081,VI
W082,TeJ
W083,IndII
W084,IndII
W085,Ind
W086,IndII
W087,IndI
W088,TeJ
W089,Ind
W090,Aus
W091,Aus
W092,Aus
W093,Ind
W094,Aus
W095,Aus
W096,Aus
W097,Admix
W098,Aus
W099,Aus
W100,Aus
W101,Ind
W102,TrJ
W103,Aus
W104,Aus
W105,Aus
W106,Aus
W107,Admix
W108,Aus
W109,TeJ
W110,TrJ
W111,Ind
W112,Ind
W113,TrJ
W114,Ind
W115,Aus
W116,TrJ
W117,TeJ
W118,TrJ
W119,TrJ
W120,TeJ
W121,Aus
W122,Jap
W123,TrJ
W124,IndI
W125,Admix
W126,IndI
W127,Jap
W128,Admix
W129,VI
W130,TeJ
W131,Aus
W132,IndI
W133,Ind
W134,Aus
W135,Admix
W136,VI
W137,Ind
W138,IndI
W139,TeJ
W140,Aus
W141,Aus
W142,Aus
W143,Jap
W144,IndI
W145,Ind
W146,IndI
W147,Ind
W148,Ind
W149,IndII
W150,IndII
W151,IndII
W152,IndII
W153,IndII
W154,IndII
W155,Ind
W156,Ind
W157,Ind
W158,Admix
W159,IndII
W160,TeJ
W161,IndII
W162,TeJ
W163,Ind
W164,Ind
W165,Ind
W166,Ind
W167,Ind
W168,IndII
W169,IndII
W170,IndII
W171,IndII
W172,IndII
W173,TrJ
W174,IndII
W175,Admix
W176,IndII
W177,IndII
W178,IndII
W179,IndII
W180,IndII
W181,IndII
W182,IndII
W183,IndII
W184,IndII
W185,IndII
W186,Ind
W187,Ind
W188,IndII
W189,IndII
W191,Admix
W192,Admix
W193,TeJ
W194,IndII
W195,IndII
W197,IndII
W198,IndI
W199,Ind
W200,IndII
W201,IndII
W202,IndII
W203,Ind
W204,IndI
W205,IndI
W206,Ind
W207,TeJ
W208,TeJ
W209,TeJ
W210,IndI
W211,IndII
W212,Ind
W213,IndII
W214,Aus
W215,Aus
W216,IndII
W217,IndII
W218,IndII
W219,VI
W220,VI
W221,IndII
W222,IndII
W223,IndII
W224,IndII
W225,TrJ
W226,Jap
W227,IndII
W228,IndII
W229,IndII
W230,IndII
W231,IndII
W233,Ind
W234,Ind
W235,IndI
W236,IndII
W237,IndII
W238,IndII
W239,IndII
W240,Ind
W241,IndII
W242,IndII
W243,IndII
W244,IndII
W245,IndII
W246,Ind
W247,IndI
W248,IndI
W249,TeJ
W250,TeJ
W251,TrJ
W252,VI
W253,TrJ
W254,TrJ
W255,VI
W256,VI
W257,TrJ
W258,VI
W259,IndII
W260,TrJ
W261,Admix
W262,IndI
W263,IndII
W264,Ind
W265,IndII
W266,IndII
W267,Ind
W268,Ind
W269,Ind
W270,Ind
W271,Ind
W272,Ind
W273,TrJ
W274,IndI
W275,TrJ
W276,Ind
W277,Aus
W278,Aus
W279,Aus
W280,Aus
W281,TeJ
W282,Ind
W283,TeJ
W284,TrJ
W285,TrJ
W286,Aus
W287,Aus
W288,TrJ
W289,IndII
W290,TeJ
W291,IndII
W292,Aus
W293,IndII
W294,Admix
W295,IndII
W296,Aus
W297,Aus
W298,IndII
W299,Ind
W300,TrJ
W301,IndII
W302,TrJ
W303,TrJ
W304,Admix
W305,TeJ
W306,VI
W307,IndII
W308,IndII
W309,IndII
W310,IndII
W311,IndII
W312,IndII
W313,IndII
W314,IndII
W315,IndII
W316,IndII
W317,IndII
W318,IndI
W319,TeJ
W320,Ind
W321,Ind
W322,Ind
W323,Jap
W324,Jap
W325,TeJ
W326,Jap
W327,TeJ
W328,Admix
W329,TrJ
W330,Aus
ZS97,IndI
MH63,IndII
9311,IndII
xs134,TeJ
Aus,Aus
WYJ3,TeJ
Mitak,TrJ
